subj,rel,obj,valid,transitivity
OtherEntity,affectsOtherEntity,OtherEntity,y,n
OtherEntity,affectsMaterial,Material,y,n
Material,affectsMetric,Metric,n,
Material,affectsMethod,Method,n,
Material,affectsTask,Task,n,
Material,affectsOtherEntity,OtherEntity,y,n
Material,affectsMaterial,Material,y,n
Metric,processesMetric,Metric,n,
Metric,processesMethod,Method,n,
Metric,processesTask,Task,n,
Metric,processesOtherEntity,OtherEntity,n,
Metric,processesMaterial,Material,n,
Method,processesMetric,Metric,y,
Method,processesMethod,Method,y,
Method,processesTask,Task,y,
Method,processesOtherEntity,OtherEntity,y,n
Method,processesMaterial,Material,y,n
Task,processesMetric,Metric,y,
Task,processesMethod,Method,y,
Task,processesTask,Task,y,n
Task,processesOtherEntity,OtherEntity,y,n
Task,processesMaterial,Material,y,n
OtherEntity,processesMetric,Metric,n,
OtherEntity,processesMethod,Method,n,
OtherEntity,processesTask,Task,y,n
OtherEntity,processesOtherEntity,OtherEntity,y,n
OtherEntity,processesMaterial,Material,y,n
Material,processesMetric,Metric,n,
Material,processesMethod,Method,n,
Material,processesTask,Task,n,
Material,processesOtherEntity,OtherEntity,n,
Material,processesMaterial,Material,n,
Metric,contributes-toMetric,Metric,y,n
Metric,contributes-toMethod,Method,y,n
Metric,contributes-toTask,Task,n,
Metric,contributes-toOtherEntity,OtherEntity,y,n
Metric,contributes-toMaterial,Material,n,
Method,contributes-toMetric,Metric,y,n
Method,contributes-toMethod,Method,y,n
Method,contributes-toTask,Task,y,n
Method,contributes-toOtherEntity,OtherEntity,y,n
Method,contributes-toMaterial,Material,y,
Task,contributes-toMetric,Metric,y,n
Task,contributes-toMethod,Method,y,n
Task,contributes-toTask,Task,y,n
Task,contributes-toOtherEntity,OtherEntity,y,n
Task,contributes-toMaterial,Material,y,
OtherEntity,contributes-toMetric,Metric,y,n
OtherEntity,contributes-toMethod,Method,y,n
OtherEntity,contributes-toTask,Task,y,n
OtherEntity,contributes-toOtherEntity,OtherEntity,y,n
OtherEntity,contributes-toMaterial,Material,y,n
Material,contributes-toMetric,Metric,n,
Material,contributes-toMethod,Method,n,
Material,contributes-toTask,Task,n,
Material,contributes-toOtherEntity,OtherEntity,n,
Material,contributes-toMaterial,Material,n,
Metric,causesMetric,Metric,y,n
Metric,causesMethod,Method,y,n
Metric,causesTask,Task,y,n
Metric,causesOtherEntity,OtherEntity,y,n
Metric,causesMaterial,Material,n,
Method,causesMetric,Metric,y,n
Method,causesMethod,Method,y,n
Method,causesTask,Task,y,n
Method,causesOtherEntity,OtherEntity,y,n
Method,causesMaterial,Material,y,n
Task,causesMetric,Metric,n,
Task,causesMethod,Method,y,n
Task,causesTask,Task,y,n
Task,causesOtherEntity,OtherEntity,y,n
Task,causesMaterial,Material,y,n
OtherEntity,causesMetric,Metric,y,n
OtherEntity,causesMethod,Method,y,n
OtherEntity,causesTask,Task,y,n
OtherEntity,causesOtherEntity,OtherEntity,y,n
OtherEntity,causesMaterial,Material,y,n
Material,causesMetric,Metric,n,
Material,causesMethod,Method,n,
Material,causesTask,Task,n,
Material,causesOtherEntity,OtherEntity,y,n
Material,causesMaterial,Material,y,n
Metric,classifiesMetric,Metric,y,n
Metric,classifiesMethod,Method,y,n
Metric,classifiesTask,Task,y,n
Metric,classifiesOtherEntity,OtherEntity,y,n
Metric,classifiesMaterial,Material,y,n
Method,classifiesMetric,Metric,y,n
Method,classifiesMethod,Method,y,n
Method,classifiesTask,Task,y,n
Method,classifiesOtherEntity,OtherEntity,y,n
Method,classifiesMaterial,Material,y,n
Task,classifiesMetric,Metric,n,
Task,classifiesMethod,Method,y,
Task,classifiesTask,Task,y,
Task,classifiesOtherEntity,OtherEntity,n,
Task,classifiesMaterial,Material,y,
OtherEntity,classifiesMetric,Metric,y,n
OtherEntity,classifiesMethod,Method,y,n
OtherEntity,classifiesTask,Task,y,n
OtherEntity,classifiesOtherEntity,OtherEntity,y,n
OtherEntity,classifiesMaterial,Material,y,n
Material,classifiesMetric,Metric,n,
Material,classifiesMethod,Method,n,
Material,classifiesTask,Task,n,
Material,classifiesOtherEntity,OtherEntity,n,
Material,classifiesMaterial,Material,n,
Metric,annotatesMetric,Metric,n,
Metric,annotatesMethod,Method,n,
Metric,annotatesTask,Task,n,
Metric,annotatesOtherEntity,OtherEntity,n,
Metric,annotatesMaterial,Material,y,n
Method,annotatesMetric,Metric,n,
Method,annotatesMethod,Method,y,
Method,annotatesTask,Task,y,n
Method,annotatesOtherEntity,OtherEntity,y,n
Method,annotatesMaterial,Material,y,n
Task,annotatesMetric,Metric,n,
Task,annotatesMethod,Method,y,
Task,annotatesTask,Task,y,
Task,annotatesOtherEntity,OtherEntity,n,
Task,annotatesMaterial,Material,y,
OtherEntity,annotatesMetric,Metric,n,
OtherEntity,annotatesMethod,Method,n,
OtherEntity,annotatesTask,Task,n,
OtherEntity,annotatesOtherEntity,OtherEntity,y,n
OtherEntity,annotatesMaterial,Material,y,n
Material,annotatesMetric,Metric,n,
Material,annotatesMethod,Method,n,
Material,annotatesTask,Task,n,
Material,annotatesOtherEntity,OtherEntity,n,
Material,annotatesMaterial,Material,n,
Metric,visualizesMetric,Metric,n,n
Metric,visualizesMethod,Method,n,n
Metric,visualizesTask,Task,n,n
Metric,visualizesOtherEntity,OtherEntity,y,n
Metric,visualizesMaterial,Material,n,n
Method,visualizesMetric,Metric,n,n
Method,visualizesMethod,Method,y,n
Method,visualizesTask,Task,n,n
Method,visualizesOtherEntity,OtherEntity,y,n
Method,visualizesMaterial,Material,y,n
Task,visualizesMetric,Metric,n,n
Task,visualizesMethod,Method,y,n
Task,visualizesTask,Task,n,n
